Name,Date,Close,Volume,Open,High,Low
TSLA,06/13/2023,$258.71,162384300,$253.51,$259.68,$251.34
TSLA,6/12/2023,$249.83,150740500,$247.94,$250.97,$244.59
TSLA,6/9/2023,$244.40,200242400,$249.07,$252.42,$242.02
TSLA,6/8/2023,$234.86,164489700,$224.22,$235.23,$223.01
TSLA,6/7/2023,$224.57,185710800,$228.00,$230.83,$223.20
TSLA,6/6/2023,$221.31,146911600,$216.14,$221.91,$212.53
TSLA,6/5/2023,$217.61,151143100,$217.80,$221.29,$214.52
TSLA,6/2/2023,$213.97,164398400,$210.15,$217.25,$209.75
TSLA,6/1/2023,$207.52,148029900,$202.59,$209.80,$199.37
TSLA,05/31/2023,$203.93,150711700,$199.78,$203.95,$195.12
TSLA,05/30/2023,$201.16,128818700,$200.10,$204.48,$197.53
TSLA,05/26/2023,$193.17,162061500,$184.62,$198.60,$184.53
TSLA,05/25/2023,$184.47,96870720,$186.54,$186.78,$180.58
TSLA,05/24/2023,$182.90,137605100,$182.23,$184.22,$178.22
TSLA,05/23/2023,$185.77,156952100,$186.20,$192.96,$185.26
TSLA,05/22/2023,$188.87,132001400,$180.70,$189.32,$180.11
TSLA,05/19/2023,$180.14,136196700,$177.17,$181.95,$176.31
TSLA,05/18/2023,$176.89,109520300,$174.22,$177.06,$172.45
TSLA,05/17/2023,$173.86,125473600,$168.41,$174.50,$167.19
TSLA,05/16/2023,$166.52,98288790,$165.65,$169.52,$164.35
TSLA,05/15/2023,$166.35,105592500,$167.66,$169.76,$164.55
TSLA,5/12/2023,$167.98,157849600,$176.07,$177.38,$167.23
TSLA,5/11/2023,$172.08,103889900,$168.70,$173.57,$166.79
TSLA,5/10/2023,$168.54,119840700,$172.55,$174.43,$166.68
TSLA,5/9/2023,$169.15,88965040,$168.95,$169.82,$166.56
TSLA,5/8/2023,$171.79,112249400,$173.72,$173.80,$169.19
TSLA,5/5/2023,$170.06,107607300,$163.97,$170.79,$163.51
TSLA,5/4/2023,$161.20,95108490,$162.71,$162.95,$159.65
TSLA,5/3/2023,$160.61,119728000,$160.01,$165.00,$159.91
TSLA,5/2/2023,$160.31,128259700,$161.88,$165.49,$158.93
TSLA,5/1/2023,$161.83,109015000,$163.17,$163.28,$158.83
TSLA,04/28/2023,$164.31,122515800,$160.90,$165.00,$157.32
TSLA,04/27/2023,$160.19,127015200,$152.64,$160.48,$152.37
TSLA,04/26/2023,$153.75,153364100,$160.29,$160.67,$153.14
TSLA,04/25/2023,$160.67,121999300,$159.82,$163.47,$158.75
TSLA,04/24/2023,$162.55,140006600,$164.65,$165.65,$158.61
TSLA,04/21/2023,$165.08,123539000,$164.80,$166.00,$161.32
TSLA,04/20/2023,$162.99,210970800,$166.17,$169.70,$160.56
TSLA,04/19/2023,$180.59,125732700,$179.10,$183.50,$177.65
TSLA,04/18/2023,$184.31,92067020,$187.15,$187.69,$183.58
TSLA,04/17/2023,$187.04,116662200,$186.32,$189.69,$182.69
TSLA,04/14/2023,$185.00,96438660,$183.95,$186.28,$182.01
TSLA,04/13/2023,$185.90,112933000,$182.96,$186.50,$180.94
TSLA,4/12/2023,$180.54,150256300,$190.74,$191.58,$180.31
TSLA,4/11/2023,$186.79,115770900,$186.69,$189.19,$185.65
TSLA,4/10/2023,$184.51,142154600,$179.94,$185.10,$176.11
TSLA,4/6/2023,$185.06,123857900,$183.08,$186.39,$179.74
TSLA,4/5/2023,$185.52,133882500,$190.52,$190.68,$183.76
TSLA,4/4/2023,$192.58,126463800,$197.32,$198.74,$190.32
TSLA,4/3/2023,$194.77,169545900,$199.91,$202.69,$192.20
TSLA,03/31/2023,$207.46,170222100,$197.53,$207.79,$197.20
TSLA,03/30/2023,$195.28,110252200,$195.58,$197.33,$194.42
TSLA,03/29/2023,$193.88,123660000,$193.13,$195.29,$189.44
TSLA,03/28/2023,$189.19,98654640,$192.00,$192.35,$185.43
TSLA,03/27/2023,$191.81,120851600,$194.42,$197.39,$189.94
TSLA,03/24/2023,$190.41,116531600,$191.65,$192.36,$187.15
TSLA,03/23/2023,$192.22,144193900,$195.26,$199.31,$188.65
TSLA,03/22/2023,$191.15,150376400,$199.30,$200.66,$190.95
TSLA,03/21/2023,$197.58,153391400,$188.28,$198.00,$188.04
TSLA,03/20/2023,$183.25,129684400,$178.08,$186.44,$176.35
TSLA,03/17/2023,$180.13,133197100,$184.52,$186.22,$177.33
TSLA,03/16/2023,$184.13,121374500,$180.37,$185.81,$178.84
TSLA,03/15/2023,$180.45,145995600,$180.80,$182.34,$176.03
TSLA,03/14/2023,$183.26,143717900,$177.31,$183.80,$177.14
TSLA,03/13/2023,$174.48,167790300,$167.46,$177.35,$163.91
TSLA,3/10/2023,$173.44,191488900,$175.13,$178.29,$168.44
TSLA,3/9/2023,$172.92,170023800,$180.25,$185.18,$172.51
TSLA,3/8/2023,$182.00,151897800,$185.04,$186.50,$180.00
TSLA,3/7/2023,$187.71,148125800,$191.38,$194.20,$186.10
TSLA,3/6/2023,$193.81,128100100,$198.54,$198.60,$192.30
TSLA,3/3/2023,$197.79,154193300,$194.80,$200.48,$192.88
TSLA,3/2/2023,$190.90,181979200,$186.74,$193.75,$186.01
TSLA,3/1/2023,$202.77,156852800,$206.21,$207.20,$198.52
TSLA,02/28/2023,$205.71,153144900,$210.59,$211.23,$203.75
TSLA,02/27/2023,$207.63,161028300,$202.03,$209.42,$201.26
TSLA,02/24/2023,$196.88,142228100,$196.33,$197.67,$192.80
TSLA,02/23/2023,$202.07,146360000,$203.91,$205.14,$196.33
TSLA,02/22/2023,$200.86,191828500,$197.93,$201.99,$191.78
TSLA,02/21/2023,$197.37,180018600,$204.99,$209.71,$197.22
TSLA,02/17/2023,$208.31,213738500,$199.99,$208.44,$197.50
TSLA,02/16/2023,$202.04,229586500,$210.78,$217.65,$201.84
TSLA,02/15/2023,$214.24,182108600,$211.76,$214.66,$206.11
TSLA,02/14/2023,$209.25,216455700,$191.94,$209.82,$189.44
TSLA,02/13/2023,$194.64,172475500,$194.42,$196.30,$187.61
TSLA,2/10/2023,$196.89,204754100,$202.23,$206.20,$192.89
TSLA,2/9/2023,$207.32,215431400,$207.78,$214.00,$204.77
TSLA,2/8/2023,$201.29,180673600,$196.10,$203.00,$194.31
TSLA,2/7/2023,$196.81,186010300,$196.43,$197.50,$189.55
TSLA,2/6/2023,$194.76,186188100,$193.01,$198.17,$189.92
TSLA,2/3/2023,$189.98,232662000,$183.95,$199.00,$183.69
TSLA,2/2/2023,$188.27,217448300,$187.33,$196.75,$182.61
TSLA,2/1/2023,$181.41,213806300,$173.89,$183.81,$169.93
TSLA,01/31/2023,$173.22,196813500,$164.57,$174.30,$162.78
TSLA,01/30/2023,$166.66,230878800,$178.05,$179.77,$166.50
TSLA,01/27/2023,$177.90,306590600,$162.43,$180.68,$161.17
TSLA,01/26/2023,$160.27,234815100,$159.97,$161.42,$154.76
TSLA,01/25/2023,$144.43,192734300,$141.91,$146.41,$138.07
TSLA,01/24/2023,$143.89,158699100,$143.00,$146.50,$141.10
TSLA,01/23/2023,$143.75,203119200,$135.87,$145.38,$134.27
TSLA,01/20/2023,$133.42,138858100,$128.68,$133.51,$127.35
TSLA,01/19/2023,$127.17,170291900,$127.26,$129.99,$124.31
TSLA,01/18/2023,$128.78,195680300,$136.56,$136.68,$127.01
TSLA,01/17/2023,$131.49,186477000,$125.70,$131.70,$125.02
TSLA,01/13/2023,$122.40,180714100,$116.55,$122.63,$115.60
TSLA,1/12/2023,$123.56,169400900,$122.56,$124.13,$117.00
TSLA,1/11/2023,$123.22,183810800,$122.09,$125.95,$120.51
TSLA,1/10/2023,$118.85,167642500,$121.07,$122.76,$114.92
TSLA,1/9/2023,$119.77,190284000,$118.96,$123.52,$117.11
TSLA,1/6/2023,$113.06,220911100,$103.00,$114.39,$101.81
TSLA,1/5/2023,$110.34,157986300,$110.51,$111.75,$107.16
TSLA,1/4/2023,$113.64,180389000,$109.11,$114.59,$107.52
TSLA,1/3/2023,$108.10,231402800,$118.47,$118.80,$104.64
TSLA,12/30/2022,$123.18,157777300,$119.95,$124.48,$119.75
TSLA,12/29/2022,$121.82,221923300,$120.39,$123.57,$117.50
TSLA,12/28/2022,$112.71,221070500,$110.35,$116.27,$108.24
TSLA,12/27/2022,$109.10,208643400,$117.50,$119.67,$108.76
TSLA,12/23/2022,$123.15,166989700,$126.37,$128.62,$121.02
TSLA,12/22/2022,$125.35,210090300,$136.00,$136.63,$122.26
TSLA,12/21/2022,$137.57,145417400,$139.34,$141.26,$135.89
TSLA,12/20/2022,$137.80,159563300,$146.05,$148.47,$137.66
TSLA,12/19/2022,$149.87,139390600,$154.00,$155.25,$145.82
TSLA,12/16/2022,$150.23,139032200,$159.64,$160.99,$150.04
TSLA,12/15/2022,$157.67,122334500,$153.44,$160.93,$153.28
TSLA,12/14/2022,$156.80,140682300,$159.25,$161.62,$155.31
TSLA,12/13/2022,$160.95,175862700,$174.87,$175.05,$156.91
TSLA,12/12/2022,$167.82,109794500,$176.10,$177.37,$167.52
TSLA,12/9/2022,$179.05,104872300,$173.84,$182.50,$173.36
TSLA,12/8/2022,$173.44,97624490,$172.20,$175.20,$169.06
TSLA,12/7/2022,$174.04,84213280,$175.03,$179.38,$172.22
TSLA,12/6/2022,$179.82,92150820,$181.22,$183.65,$175.33
TSLA,12/5/2022,$182.45,93122670,$189.44,$191.27,$180.55
TSLA,12/2/2022,$194.86,73645920,$191.78,$196.25,$191.11
TSLA,12/1/2022,$194.70,80046210,$197.08,$198.92,$191.80
TSLA,11/30/2022,$194.70,109186400,$182.43,$194.76,$180.63
TSLA,11/29/2022,$180.83,83357110,$184.99,$186.38,$178.75
TSLA,11/28/2022,$182.92,93038150,$179.96,$188.50,$179.00
TSLA,11/25/2022,$182.86,50672740,$185.06,$185.20,$180.63
TSLA,11/23/2022,$183.20,109536700,$173.57,$183.62,$172.50
TSLA,11/22/2022,$169.91,78452330,$168.63,$170.92,$166.19
TSLA,11/21/2022,$167.87,92882710,$175.85,$176.77,$167.54
TSLA,11/18/2022,$180.19,76048870,$185.05,$185.19,$176.55
TSLA,11/17/2022,$183.17,64335970,$183.96,$186.16,$180.90
TSLA,11/16/2022,$186.92,66567600,$191.51,$192.57,$185.66
TSLA,11/15/2022,$194.42,91293790,$195.88,$200.82,$192.06
TSLA,11/14/2022,$190.95,92226650,$192.77,$195.73,$186.34
TSLA,11/11/2022,$195.97,114403600,$186.00,$196.52,$182.59
TSLA,11/10/2022,$190.72,132703000,$189.90,$191.00,$180.03
TSLA,11/9/2022,$177.59,127062700,$190.78,$195.89,$177.12
TSLA,11/8/2022,$191.30,128803400,$194.02,$195.20,$186.75
TSLA,11/7/2022,$197.08,93916520,$208.65,$208.90,$196.66
TSLA,11/4/2022,$207.47,98622210,$222.60,$223.80,$203.08
TSLA,11/3/2022,$215.31,56538850,$211.36,$221.20,$210.14
TSLA,11/2/2022,$214.98,63070290,$226.04,$227.87,$214.82
TSLA,11/1/2022,$227.82,62688820,$234.05,$237.40,$227.28
TSLA,10/31/2022,$227.54,61554340,$226.19,$229.85,$221.94
TSLA,10/28/2022,$228.52,69152390,$225.40,$228.86,$216.35
TSLA,10/27/2022,$225.09,61638820,$229.77,$233.81,$222.85
TSLA,10/26/2022,$224.64,85327080,$219.40,$230.60,$218.20
TSLA,10/25/2022,$222.42,96507870,$210.10,$224.35,$210.00
TSLA,10/24/2022,$211.25,100446800,$205.82,$213.50,$198.59
TSLA,10/21/2022,$214.44,75713750,$206.42,$214.66,$203.80
TSLA,10/20/2022,$207.28,117798100,$208.28,$215.55,$202.00
TSLA,10/19/2022,$222.04,66571480,$219.80,$222.93,$217.78
TSLA,10/18/2022,$220.19,75891910,$229.50,$229.82,$217.25
TSLA,10/17/2022,$219.35,79428810,$210.04,$221.86,$209.45
TSLA,10/14/2022,$204.99,94124510,$224.01,$226.26,$204.16
TSLA,10/13/2022,$221.72,91483050,$208.30,$222.99,$206.22
TSLA,10/12/2022,$217.24,66860700,$215.33,$219.30,$211.51
TSLA,10/11/2022,$216.50,77013200,$220.95,$225.75,$215.00
TSLA,10/10/2022,$222.96,67925020,$223.93,$226.99,$218.36
TSLA,10/7/2022,$223.07,83916800,$233.94,$234.57,$222.02
TSLA,10/6/2022,$238.13,69298440,$239.44,$244.58,$235.35
TSLA,10/5/2022,$240.81,86982670,$245.01,$246.67,$233.27
TSLA,10/4/2022,$249.44,109578500,$250.52,$257.50,$242.01
TSLA,10/3/2022,$242.40,98363540,$254.50,$255.16,$241.01
TSLA,09/30/2022,$265.25,67726600,$266.15,$275.57,$262.47
TSLA,09/29/2022,$268.21,77620640,$282.76,$283.65,$265.78
TSLA,09/28/2022,$287.81,54664810,$283.08,$289.00,$277.57
TSLA,09/27/2022,$282.94,61925190,$283.84,$288.67,$277.51
TSLA,09/26/2022,$276.01,58076910,$271.83,$284.09,$270.31
TSLA,09/23/2022,$275.33,63748360,$283.09,$284.50,$272.82
TSLA,09/22/2022,$288.59,70545410,$299.86,$301.29,$285.82
TSLA,09/21/2022,$300.80,62555660,$308.29,$313.80,$300.63
TSLA,09/20/2022,$308.73,61642780,$306.91,$313.33,$305.58
TSLA,09/19/2022,$309.07,60231160,$300.09,$309.84,$297.80
TSLA,09/16/2022,$303.35,87087790,$299.61,$303.71,$295.60
TSLA,09/15/2022,$303.75,64795520,$301.83,$309.12,$300.72
TSLA,09/14/2022,$302.61,72628650,$292.24,$306.00,$291.64
TSLA,09/13/2022,$292.13,68229620,$292.90,$297.40,$290.40
TSLA,9/12/2022,$304.42,48674600,$300.72,$305.49,$300.40
TSLA,9/9/2022,$299.68,54470850,$291.67,$299.85,$291.25
TSLA,9/8/2022,$289.26,53713120,$281.30,$289.50,$279.76
TSLA,9/7/2022,$283.70,50028920,$273.10,$283.84,$272.27
TSLA,9/6/2022,$274.42,55859980,$272.68,$275.99,$265.74
TSLA,9/2/2022,$270.21,50890090,$281.07,$282.35,$269.08
TSLA,9/1/2022,$277.16,54287020,$272.58,$277.58,$266.15
TSLA,08/31/2022,$275.61,52107340,$280.62,$281.25,$271.81
TSLA,08/30/2022,$277.70,50541760,$287.87,$288.48,$272.65
TSLA,08/29/2022,$284.82,41864740,$282.83,$287.74,$280.70
TSLA,08/26/2022,$288.09,57163950,$297.43,$302.00,$287.47
TSLA,08/25/2022,$296.07,53230010,$302.36,$302.96,$291.60
TSLA,08/24/2022,$297.10,57259716,$297.56,$303.65,$296.50
TSLA,08/23/2022,$296.45,63985056,$291.45,$298.83,$287.92
TSLA,08/22/2022,$289.91,55843356,$291.91,$292.40,$286.30
TSLA,08/19/2022,$296.67,61395396,$299.00,$300.36,$292.50
TSLA,08/18/2022,$302.87,47500535,$306.00,$306.50,$301.85
TSLA,08/17/2022,$304.00,68765977,$303.40,$309.66,$300.03
TSLA,08/16/2022,$306.56,88136319,$311.67,$314.67,$302.88
TSLA,08/15/2022,$309.32,89359179,$301.79,$313.13,$301.23
TSLA,8/12/2022,$300.03,79657298,$289.42,$300.16,$285.03
TSLA,8/11/2022,$286.63,70155067,$296.51,$298.24,$285.83
TSLA,8/10/2022,$294.36,94918869,$297.07,$297.51,$283.37
TSLA,8/9/2022,$283.33,86244699,$290.29,$292.40,$279.35
TSLA,8/8/2022,$290.42,99365290,$295.00,$305.20,$289.09
TSLA,8/5/2022,$288.17,113172911,$302.67,$304.61,$285.54
TSLA,8/4/2022,$308.63,72256327,$311.00,$313.61,$305.00
TSLA,8/3/2022,$307.40,80091128,$305.00,$309.55,$301.15
TSLA,8/2/2022,$300.59,95577490,$294.00,$307.83,$292.67
TSLA,8/1/2022,$297.28,117042912,$301.28,$311.88,$295.00
TSLA,07/29/2022,$297.15,95312890,$280.70,$298.32,$279.10
TSLA,07/28/2022,$280.90,84723008,$280.07,$283.30,$272.80
TSLA,07/27/2022,$274.82,88110009,$263.81,$275.93,$261.79
TSLA,07/26/2022,$258.86,66820777,$266.51,$267.31,$256.26
TSLA,07/25/2022,$268.43,64073526,$272.22,$274.15,$267.40
TSLA,07/22/2022,$272.24,103472860,$276.22,$280.79,$270.71
TSLA,07/21/2022,$271.71,142032194,$255.11,$273.27,$254.87
TSLA,07/20/2022,$247.50,88864089,$246.78,$250.66,$243.48
